id,status,created_time,response_time,hops,responses
7801,200,77.751000,0.018804,[i61-f13],[0.018804]
7802,200,77.759000,0.022862,[i63-f15],[0.022862]
7803,200,77.769000,0.019066,[i58-f10],[0.019066]
7804,200,77.778000,0.019115,[i61-f13],[0.019115]
7805,200,77.785000,0.022899,[i63-f15],[0.022899]
7807,200,77.805000,0.010596,[i58-f10],[0.010596]
7806,200,77.802000,0.014869,[i61-f13],[0.014869]
7808,200,77.816000,0.010539,[i58-f10],[0.010539]
7809,200,77.821000,0.014963,[i61-f13],[0.014963]
7811,200,77.841000,0.011089,[i61-f13],[0.011089]
7810,200,77.832000,0.022658,[i58-f10],[0.022658]
7812,200,77.847000,0.022700,[i63-f15],[0.0227]
7813,200,77.867000,0.014712,[i58-f10],[0.014712]
7815,200,77.888000,0.010600,[i58-f10],[0.0106]
7814,200,77.876000,0.022862,[i63-f15],[0.022862]
7816,200,77.902000,0.022702,[i63-f15],[0.022702]
7817,200,77.905000,0.027429,[i58-f10],[0.027429]
7818,200,77.918000,0.022864,[i61-f13],[0.022864]
7819,200,77.926000,0.022764,[i63-f15],[0.022764]
7820,200,77.934000,0.022645,[i58-f10],[0.022645]
7821,200,77.943000,0.018740,[i61-f13],[0.01874]
7822,200,77.958000,0.015048,[i58-f10],[0.015048]
7823,200,77.971000,0.015273,[i61-f13],[0.015273]
7824,200,77.977000,0.014578,[i58-f10],[0.014578]
7825,200,77.986000,0.014656,[i63-f15],[0.014656]
7826,200,77.994000,0.018758,[i58-f10],[0.018758]
7827,200,78.006000,0.014704,[i63-f15],[0.014704]
7828,200,78.010000,0.018885,[i61-f13],[0.018885]
7829,200,78.020000,0.018638,[i58-f10],[0.018638]
7830,200,78.031000,0.014835,[i61-f13],[0.014835]
7831,200,78.040000,0.022902,[i58-f10],[0.022902]
7832,200,78.054000,0.022735,[i61-f13],[0.022735]
7833,200,78.063000,0.019049,[i58-f10],[0.019049]
7834,200,78.077000,0.014746,[i61-f13],[0.014746]
7835,200,78.090000,0.010564,[i58-f10],[0.010564]
7836,200,78.098000,0.014827,[i61-f13],[0.014827]
7837,200,78.107000,0.022634,[i58-f10],[0.022634]
7838,200,78.114000,0.021242,[i61-f13],[0.021242]
